Address,dragon_count,Balance
juno1a2ac42nm0kfsflvhqjya0wg9lsydm50ch5thvh,3,2373
juno1en6w3gs6dltchsngwa05q076pjaljlrahkzyze,2,1581
juno14h8d7kc9ylmqhx278w7nvk5eu3qqjy9d39wres,5,1828
juno1yrlls32jer9fdma7an7pr4jz3kz4tv6t62v27j,3,2341
juno1muttxxvr034r4y7nrnyfylharms4fsuev8t3qz,4,1938
juno1csgs20vs4z07nqktxdr84stpmhtw6quu22mv6v,2,1961
juno1cdge5wr4zc3m5ker5qrvn327p3gk5fcg4m0r54,1,1363
juno1fr2vr2gc6cchhffwuf7xj3kx56tr20zfxehmrk,1,1401
juno1hdce23dt7krfs44ehcq68gt0jwrc2egmng9d9w,3,1484
juno1trr5ll37jvvf3c2ymee32p2ngpewycura6xj7w,9,2610
juno1ezemdy6ex6nxsdy03fkac5nlld03p0cp5dpw9v,2,1381
juno1cvppdu4g0pu36gl46etm78cg87as7nl6llx7fk,9,3061
juno1ujumtq4f86z4cvpw4z8pqlaupf9x4gjpx63jzs,7,3360
juno1fd3e5x5k7p822lksd70sh5mm3zdt6whxj9kawg,1,1300
juno1leejkna953s5tk2svuqqkh9e2k8ssmse5u2hmv,1,1287
juno1s8fewu3vucn6c98093sl47c0mqja529mpx2jxc,6,2800
juno1lg6nsm4q452jeyzfd3ut60704c63aawj6dqzg5,1,1295
juno1jpq32s48m74symg3jn7g8rdk03qfrj65pz2unh,1,1287
juno14wx03qe6cn2ufpakc9rpxfu86d0yxlmrsr3dqm,6,1915
juno1z90q3susw2q3xcfqexxsxfnxv39m0mu5j0g2cf,8,3379
juno1nysnwr25kx7r29prcjx5v5wlnxhd42esmgtd50,1,1271
juno1a673aqnaj7qy7k7zkw4p8th2rnav0m5gqcgrxj,3,1238
juno1rylscjewtqxpx9vaaw9u9xe276jgddsztz4gh7,2,1195
juno1hrwcnf53yjxez8706z0wq57taa688sd4jp8x8r,11,2835
juno1h8az9l9xc6k38hnys7agnd8gkgl4jh2nasaswz,1,1150
juno13kw0m58k974mk6twg9l7jxwt8uf56c6ddaycun,7,1748
juno1lywuk4k8e32dth3qnjhlx0xv3c0j6zmmzy7jhl,1,1094
juno1txgda86rvnune3afh9gjf9szrlf5gey5x5vqsy,7,2046
juno1uw578xh672x4eecle7us8x67g8jf22p8w5x4rr,7,1596
juno1mljuf2wtjq8n66peupv5c7d2j65zpzml3u67ep,2,1192
juno15z5fvkqv25zcpkp5hrceapazyn3dkynrxad2yx,2,1299
juno1kcv9vea4wqasfft5qlxnvwvz2npcca5xv5n2vd,1,1100
juno1gs8clhnnlr5yehvejxwqjtf43el2xr9sw32kuv,4,1557
juno1k55lcm5a5qkgcca9rz0cvlzzce4ec4ghwc64zr,2,1115
juno17wxlwemx69vryyvmqshzhzhl6dlhranwegl5nk,5,1587
juno1qj868540lcfpxurd4tlwafcgfv0t0n9s329yva,4,1291
juno1wps5r2c3y6gx7l2jy83e6exvzsccmp2vzcl82c,5,1277
juno1jqup4hf2jmfcfndduydr2rtqtv8ypvzdckcq6p,1,1025
juno1uegmut5dp5k3rc0xxdgluksmqewf3k8qnducrw,6,2904
juno1s3c7q7vxe557h6tv3yw2hwpp0w4wgjqtqze2ug,1,1010
juno156v8w003ztexdzp0l0rs5jpenk68jnprku6njh,3,1005
juno1pc8qd3fnt98j6ndsvxspmzvpgfhjlt2hdjzyqf,1,899
juno1etwruy48q0j2s0vj3qpee6nu938fvde6q49alz,9,1358
juno16d7uqf38v62d68m0zjce90astv4xesj639yz6j,2,921
juno16fygzkuwu5jp38enptyl7t65lu6k5qdxmpfv22,3,1676
juno19fumfhgfvp2q7lffvaypwwmuz93wfrdsrjulgz,1,916
juno1de0eyu5u867fsyg22w98c0ydpslccjp8xmsxay,2,917
juno1tq9rfnr0pmq005mwt8qdmh5fhfjaf8w5n0x3vl,2,857
juno19y77vt252fu6cqxj2f0c90x3hyd0ty7yfkgzkv,4,1120
juno1e0fafwjn3qp4s8g5zd6k8nz84tj9w6x8av40j8,5,1053
juno1c5l0d0pwm6m34m9yph3xaudh6u44nae4tynfsq,1,800
juno1mklxx9jmkxxpdkrtvz99c8wh256l82muuj0vxe,2,1470
juno1ydrskl8w27n3dyxzgl233uazpgxarerd0fgj5k,3,1366
juno1pz0a4rzkszss4dzs7yfukuskqtjg739g3qzgsp,3,815
juno1j8pddvf2657wz6vglgrgpc36ny2kg4ctftvrum,6,763
juno1dj7p6yn4u5ywph5a5xh2lnx5vzwhwxsldncrr0,6,1225
juno1czq9u66r7ueffe9pfengt9paaqvx0ya4g5s7gd,9,1691
juno1g6mw23zvgpk3g4h26sd7n2dfc29w8zeva5m6lh,3,923
juno1zd5xv7fq0f64u9cv4j0xte7mrepex0mcgy4fwk,3,810
juno1dq7aykz00wtk7mfcw7eaylymknatdh5hhymcpu,12,1356
juno1q4t88j9krpx2n46hueqxkwuyh8d40w4uyr6vxm,8,688
juno1mrlkzgvv9n2ft0caxtggm6uzhc8my4hwapy2u8,8,805
juno143nyvk2k2xu3yhfu6x95t9l3nfy4v0tr46x2cn,1,608
juno1apvsay7qcqx6mrh7d4acva0y3chf445rjpezxf,3,692
juno14f7vnapm37460dtz79wj3jhx7fagvzxzr6v4tv,4,1965
juno1gj0xggmcyndpmss5qqtadjn9mf7pny3g2q3jem,2,865
juno14turvgzg65k0n9w8w6axt7dz868yuh8uppzwm6,2,660
juno1laavadm883aw9hvrvz5yu83qm6ushflcyfut29,5,1573
juno1r9szg4zt2xjfd68tw5cf30ucpdejy8asp8z0qx,1,660
juno1zcj5xw24tvjnyl7awhtutdfarvxmqfqxc5pd2m,7,1193
juno1j575t9askwsk66hjsqp96lndkct37cv0ck5ajk,2,862
juno10txfsm8yg57ry7pfdgg7u9uts92mtzqyqf2num,3,681
